title,cuisines,reviews,star rating,restaurant serial number,cuisines_melt,cuisines_all
La Tavolozza,"Italian, Seafood",267,4.5,282,cuisine_1,Italian
Schöne Perle,"Austrian, European",640,4.0,283,cuisine_1,Austrian
Bitzinger Wurstelstand Albertina,"German, Austrian",1259,4.0,284,cuisine_1,German
Ramasuri,"European, Contemporary",217,4.5,285,cuisine_1,European
Restaurant Schwabl,"Austrian, European",89,4.5,286,cuisine_1,Austrian
Veggiezz,Healthy,291,4.0,287,cuisine_1,Healthy
Pizzeria Minante,"Italian, Pizza",162,4.5,288,cuisine_1,Italian
Otto Bauer,"Austrian, European",166,4.5,289,cuisine_1,Austrian
Gasthaus Stern,"Austrian, European",399,4.5,290,cuisine_1,Austrian
NENI am Naschmarkt,"Mediterranean, Healthy",1375,4.0,291,cuisine_1,Mediterranean
Flatschers,"Steakhouse, Bar",568,4.0,292,cuisine_1,Steakhouse
OPUS Restaurant,"Austrian, European",215,4.5,293,cuisine_1,Austrian
Chilai Ringstrassen Galerien,"Austrian, Bar",193,4.0,294,cuisine_1,Austrian
Erich,"Cafe, European",328,4.0,295,cuisine_1,Cafe
Le Burger,"American, Bar",188,4.5,296,cuisine_1,American
Santos Neubau I Mexican Grill & Bar,Mexican,156,4.5,297,cuisine_1,Mexican
Stuwer - Neues Wiener Beisl,"Austrian, European",118,4.5,298,cuisine_1,Austrian
Restaurant Kornat,"Seafood, Mediterranean",455,4.0,299,cuisine_1,Seafood
Cafe Ansari,"European, Middle Eastern",438,4.0,300,cuisine_1,European
Hansen,"Austrian, European",233,4.5,301,cuisine_1,Austrian
Ristorante Pizzeria Fiorino,"Italian, Pizza",360,4.0,302,cuisine_1,Italian
Leo HILLINGER Wineshop & Bar Wien-Wollzeile,"Bars & Pubs, Bar",112,4.5,303,cuisine_1,Bars & Pubs
Stadtboden,"Bars & Pubs, German",411,4.0,304,cuisine_1,Bars & Pubs
Ullmann's Zuckerbackerei,"Austrian, Cafe",212,4.5,305,cuisine_1,Austrian
Fabios,"Italian, International",1394,4.0,306,cuisine_1,Italian
Ella's,"Seafood, Mediterranean",377,4.0,307,cuisine_1,Seafood
Zum Leupold,Austrian,1044,4.0,308,cuisine_1,Austrian
Shiki,"Japanese, Sushi",545,4.0,309,cuisine_1,Japanese
Bristol Lounge,"Austrian, European",331,4.0,310,cuisine_1,Austrian
Krah Krah,"German, Austrian",371,4.0,311,cuisine_1,German
Porzellan Lounge,"Austrian, European",157,4.5,312,cuisine_1,Austrian
THE AUGUSTIN,"European, Central European",260,4.5,313,cuisine_1,European
Da Moritz Huth,"Italian, Mediterranean",545,4.0,314,cuisine_1,Italian
Le Salzgries Paris,"French, Seafood",215,4.5,315,cuisine_1,French
Vapiano Moulin Rouge,"Italian, Pizza",587,4.0,316,cuisine_1,Italian
Gelateria Castelletto,"Dessert, Italian",876,4.0,317,cuisine_1,Dessert
Gastwirtschaft Schilling,"Austrian, European",314,4.0,318,cuisine_1,Austrian
Konoba Pescaria,"Seafood, Mediterranean",173,4.5,319,cuisine_1,Seafood
Appiano Das Gasthaus,"Austrian, European",169,4.5,320,cuisine_1,Austrian
Eissalon am Schwedenplatz,"Dessert, Cafe",405,4.0,321,cuisine_1,Dessert
DO & CO Albertina,,543,4.0,322,cuisine_1,
Kaffee Alt Wien,"Austrian, Bar",762,4.0,323,cuisine_1,Austrian
Restaurant Ragusa,"Seafood, Mediterranean",105,4.5,324,cuisine_1,Seafood
Brandauer Schlossbrau,"German, Brew Pub",837,4.0,325,cuisine_1,German
Café Landtmann,Austrian,3850,4.0,326,cuisine_1,Austrian
Mama Liu & Sons,"Chinese, Asian",353,4.0,327,cuisine_1,Chinese
15 Susse Minuten - Cafe,"Dessert, Austrian",361,4.0,328,cuisine_1,Dessert
aend,"International, European",147,4.5,329,cuisine_1,International
Trattoria Santo Stefano,"Italian, European",657,4.0,330,cuisine_1,Italian
Landstein Filet & Wine,"Austrian, European",126,4.5,331,cuisine_1,Austrian
Zum Lieben Augustin,"Austrian, European",75,4.5,332,cuisine_1,Austrian
Shibuya Izakaya,"Japanese, Sushi",33,5.0,333,cuisine_1,Japanese
Stadtwirt,"Austrian, European",255,4.0,334,cuisine_1,Austrian
Cafe Restaurant Tethys-Wien,"Austrian, Bar",94,4.5,335,cuisine_1,Austrian
Sudlander Cafe-Bistro,"Mediterranean, European",172,4.5,336,cuisine_1,Mediterranean
Pars Restaurant,"Middle Eastern, Persian",291,4.5,337,cuisine_1,Middle Eastern
Heuer Am Karlsplatz,"Bar, European",549,4.0,338,cuisine_1,Bar
Salzberg,"Austrian, European",218,4.0,339,cuisine_1,Austrian
Beisl In Der Sigmundsgasse,"Austrian, European",63,4.5,340,cuisine_1,Austrian
Das Kolin,"Austrian, European",215,4.5,341,cuisine_1,Austrian
Stella Marina,"Italian, Mediterranean",140,4.5,342,cuisine_1,Italian
Papaya,"Sushi, Asian",58,5.0,343,cuisine_1,Sushi
Chinacy,"Chinese, Asian",89,4.5,344,cuisine_1,Chinese
